"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","31","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.TestDataDemoTest","io.github.mypixelquest.pja.tests.TestDataDemoTest","testCsvDataLoading","Demonstrate CSV data loading","Loads and uses data from CSV files"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","7","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.TestDataDemoTest","io.github.mypixelquest.pja.tests.TestDataDemoTest","testJsonDataLoading","Demonstrate JSON data loading","Loads and uses data from JSON files"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","851","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.ExampleTest","io.github.mypixelquest.pja.tests.ExampleTest","testJavaDocumentation","Navigate to Java documentation","Navigates to Java-specific documentation and verifies the URL"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","723","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.ExampleTest","io.github.mypixelquest.pja.tests.ExampleTest","testSearch","Verify search functionality","Opens search dialog and verifies it's visible"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","5","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.TestDataDemoTest","io.github.mypixelquest.pja.tests.TestDataDemoTest","testDynamicDataGeneration","Demonstrate dynamic data generation","Generates and uses dynamic test data"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","749","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.ExampleTest","io.github.mypixelquest.pja.tests.ExampleTest","testHomePageNavigation","Verify homepage navigation and Get Started button","Navigates to the homepage and clicks the Get Started button"
"passed","Sun Apr 13 14:00:09 UTC 2025","Sun Apr 13 14:00:09 UTC 2025","469","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.ExampleTest","io.github.mypixelquest.pja.tests.ExampleTest","testToolsNavigation","Navigate to Playwright tools","Navigates to various Playwright tools (Codegen, Inspector, Trace Viewer)"
"passed","Sun Apr 13 14:00:08 UTC 2025","Sun Apr 13 14:00:08 UTC 2025","6","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.TestDataDemoTest","io.github.mypixelquest.pja.tests.TestDataDemoTest","testYamlDataLoading","Demonstrate YAML data loading","Loads and uses data from YAML files"
"unknown","Sun Apr 13 14:00:04 UTC 2025","Sun Apr 13 14:00:04 UTC 2025","0","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.ExampleTest","io.github.mypixelquest.pja.tests.ExampleTest","testScreenshotOnFailure","Screenshot on failure demonstration","Demonstrates screenshot capture on test failure"
"unknown","Sun Apr 13 14:00:04 UTC 2025","Sun Apr 13 14:00:04 UTC 2025","0","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.ExampleTest","io.github.mypixelquest.pja.tests.ExampleTest","testRetryFunctionality","Demonstrate retry functionality","Test that demonstrates retry mechanism by having an intentional timing issue"
"unknown","Sun Apr 13 14:00:04 UTC 2025","Sun Apr 13 14:00:04 UTC 2025","0","Playwright Java Accelerator Test Suite","Regression Tests","io.github.mypixelquest.pja.tests.TestDataDemoTest","io.github.mypixelquest.pja.tests.TestDataDemoTest","testEnvironmentSpecificData","Demonstrate environment-specific data","Loads environment-specific test data"
